image,class_code,type,question,expected_keyword,answer,intent,detected_summary,reliable_summary,correct
D:\20252\project2\data_v1_filtered\images\val\10009.jpg,pl40,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 40 km/h,Giới hạn tốc độ 40 km/h: Biển báo quy định tốc độ tối đa cho phép là 40 km/h. (độ tin cậy 0.47).,meaning,pl40(0.47); pl30(0.23),pl40(0.47),True
D:\20252\project2\data_v1_filtered\images\val\10009.jpg,pl40,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,Giới hạn tốc độ 40 km/h thuộc nhóm Biển giới hạn tốc độ.,group,pl40(0.47); pl30(0.23),pl40(0.47),True
D:\20252\project2\data_v1_filtered\images\val\10009.jpg,pl40,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 40 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 40 km/h (Biển giới hạn tốc độ), độ tin cậy 0.47.
Tốc độ tối đa suy ra từ biển báo là 40 km/h.",summary,pl40(0.47); pl30(0.23),pl40(0.47),True
D:\20252\project2\data_v1_filtered\images\val\10009.jpg,pl40,speed_limit,Tốc độ tối đa là bao nhiêu?,40,Tốc độ tối đa cho phép là 40 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 40 km/h với độ tin cậy 0.47.,speed_limit,pl40(0.47); pl30(0.23),pl40(0.47),True
D:\20252\project2\data_v1_filtered\images\val\10009.jpg,pl40,speed_limit,Có được chạy quá 40 km/h không?,40,Không được chạy quá 40 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 40 km/h với độ tin cậy 0.47.,speed_limit,pl40(0.47); pl30(0.23),pl40(0.47),True
D:\20252\project2\data_v1_filtered\images\val\10009.jpg,pl40,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,40,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 40 km/h.",situation_advice,pl40(0.47); pl30(0.23),pl40(0.47),True
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,what_sign,Đây là biển gì?,Giới hạn tốc độ 50 km/h,"Trong ảnh phát hiện các biển báo sau:
- Hạn chế chiều cao (độ tin cậy 0.89)
- Giới hạn tốc độ 80 km/h (độ tin cậy 0.74)",what_sign,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),False
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 50 km/h,"Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.89).
Giới hạn tốc độ 80 km/h: Biển báo quy định tốc độ tối đa cho phép là 80 km/h. (độ tin cậy 0.74).",meaning,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),False
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Hạn chế chiều cao thuộc nhóm Biển hạn chế.
Giới hạn tốc độ 80 km/h thuộc nhóm Biển giới hạn tốc độ.",group,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),True
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 50 km/h,"Tóm tắt kết quả nhận diện:
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.89.
- Giới hạn tốc độ 80 km/h (Biển giới hạn tốc độ), độ tin cậy 0.74.
Tốc độ tối đa suy ra từ biển báo là 80 km/h.",summary,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),False
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,speed_limit,Tốc độ tối đa là bao nhiêu?,50,Tốc độ tối đa cho phép là 80 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 80 km/h với độ tin cậy 0.74.,speed_limit,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),False
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,speed_limit,Có được chạy quá 50 km/h không?,50,Tốc độ tối đa cho phép là 80 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 80 km/h với độ tin cậy 0.74.,speed_limit,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),False
D:\20252\project2\data_v1_filtered\images\val\10150.jpg,pl50,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,50,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 80 km/h.
- Cần chú ý giới hạn chiều cao của phương tiện.",situation_advice,ph(0.89); pl80(0.74); pl80(0.47),ph(0.89); pl80(0.74),False
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,what_sign,Đây là biển gì?,Giới hạn tốc độ 80 km/h,"Trong ảnh phát hiện các biển báo sau:
- Hạn chế chiều cao (độ tin cậy 0.88)
- Giới hạn tốc độ 80 km/h (độ tin cậy 0.85)
- Giới hạn tốc độ 30 km/h (độ tin cậy 0.71)",what_sign,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 80 km/h,"Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.88).
Giới hạn tốc độ 80 km/h: Biển báo quy định tốc độ tối đa cho phép là 80 km/h. (độ tin cậy 0.85).
Giới hạn tốc độ 30 km/h: Biển báo quy định tốc độ tối đa cho phép là 30 km/h. (độ tin cậy 0.71).",meaning,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Hạn chế chiều cao thuộc nhóm Biển hạn chế.
Giới hạn tốc độ 80 km/h thuộc nhóm Biển giới hạn tốc độ.
Giới hạn tốc độ 30 km/h thuộc nhóm Biển giới hạn tốc độ.",group,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 80 km/h,"Tóm tắt kết quả nhận diện:
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.88.
- Giới hạn tốc độ 80 km/h (Biển giới hạn tốc độ), độ tin cậy 0.85.
- Giới hạn tốc độ 30 km/h (Biển giới hạn tốc độ), độ tin cậy 0.71.
Tốc độ tối đa suy ra từ biển báo là 80 km/h.",summary,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,speed_limit,Tốc độ tối đa là bao nhiêu?,80,Tốc độ tối đa cho phép là 80 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 80 km/h với độ tin cậy 0.85.,speed_limit,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,speed_limit,Có được chạy quá 80 km/h không?,80,Không được chạy quá 80 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 80 km/h với độ tin cậy 0.85.,speed_limit,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (4).jpg,pl80,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,80,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 80 km/h.
- Cần chú ý giới hạn chiều cao của phương tiện.",situation_advice,ph(0.88); pl80(0.85); pl30(0.71),ph(0.88); pl80(0.85); pl30(0.71),True
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,what_sign,Đây là biển gì?,Giới hạn tốc độ 90 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 20 km/h (độ tin cậy 0.94)
- Hạn chế chiều cao (độ tin cậy 0.88)",what_sign,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),False
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 90 km/h,"Giới hạn tốc độ 20 km/h: Biển báo quy định tốc độ tối đa cho phép là 20 km/h. (độ tin cậy 0.94).
Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.88).",meaning,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),False
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 20 km/h thuộc nhóm Biển giới hạn tốc độ.
Hạn chế chiều cao thuộc nhóm Biển hạn chế.",group,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),True
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 90 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 20 km/h (Biển giới hạn tốc độ), độ tin cậy 0.94.
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.88.
Tốc độ tối đa suy ra từ biển báo là 20 km/h.",summary,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),False
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,speed_limit,Tốc độ tối đa là bao nhiêu?,90,Tốc độ tối đa cho phép là 20 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 20 km/h với độ tin cậy 0.94.,speed_limit,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),False
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,speed_limit,Có được chạy quá 90 km/h không?,90,Không được chạy quá 20 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 20 km/h với độ tin cậy 0.94.,speed_limit,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),False
D:\20252\project2\data_v1_filtered\images\val\10150 (2).jpg,pl90,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,90,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 20 km/h.
- Cần chú ý giới hạn chiều cao của phương tiện.",situation_advice,pl20(0.94); ph(0.88),pl20(0.94); ph(0.88),False
