image,class_code,type,question,expected_keyword,answer,intent,detected_summary,reliable_summary,correct
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 40 km/h,"Giới hạn tốc độ 40 km/h: Biển báo quy định tốc độ tối đa cho phép là 40 km/h. (độ tin cậy 0.98).
Cấm xe tải đi vào: Biển báo cấm xe tải đi vào đoạn đường hoặc khu vực có đặt biển. (độ tin cậy 0.96).
Cấm xe khách lớn đi vào: Biển báo cấm xe khách lớn đi vào khu vực hoặc đoạn đường có đặt biển. (độ tin cậy 0.58).",meaning,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 40 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm xe tải đi vào thuộc nhóm Biển cấm.
Cấm xe khách lớn đi vào thuộc nhóm Biển cấm.",group,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 40 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 40 km/h (Biển giới hạn tốc độ), độ tin cậy 0.98.
- Cấm xe tải đi vào (Biển cấm), độ tin cậy 0.96.
- Cấm xe khách lớn đi vào (Biển cấm), độ tin cậy 0.58.
Tốc độ tối đa suy ra từ biển báo là 40 km/h.",summary,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,speed_limit,Tốc độ tối đa là bao nhiêu?,40,Tốc độ tối đa cho phép là 40 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 40 km/h với độ tin cậy 0.98.,speed_limit,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,speed_limit,Có được chạy quá 40 km/h không?,40,Không được chạy quá 40 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 40 km/h với độ tin cậy 0.98.,speed_limit,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
D:\20252\project2\data_v1_filtered\images\val\80682.jpg,pl40,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,40,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 40 km/h.
- Xe tải không được đi vào đoạn đường có biển cấm.
- Xe khách lớn không được đi vào đoạn đường có biển cấm.",situation_advice,pl40(0.98); p26(0.96); p3(0.58); p26(0.52); p26(0.27); p26(0.27); ph(0.06); p26(0.06),pl40(0.98); p26(0.96); p3(0.58),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,what_sign,Đây là biển gì?,Giới hạn tốc độ 50 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 50 km/h (độ tin cậy 0.98)
- Cấm bấm còi (độ tin cậy 0.94)
- Cấm đỗ xe (độ tin cậy 0.94)
- Đi bên phải (độ tin cậy 0.87)
- Cấm đi vào (độ tin cậy 0.80)",what_sign,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 50 km/h,"Giới hạn tốc độ 50 km/h: Biển báo quy định tốc độ tối đa cho phép là 50 km/h. (độ tin cậy 0.98).
Cấm bấm còi: Biển báo cấm người điều khiển phương tiện sử dụng còi tại khu vực có đặt biển. (độ tin cậy 0.94).
Cấm đỗ xe: Biển báo cấm các phương tiện đỗ xe tại khu vực có đặt biển. (độ tin cậy 0.94).
Đi bên phải: Biển báo yêu cầu phương tiện đi về phía bên phải theo hướng chỉ dẫn. (độ tin cậy 0.87).
Cấm đi vào: Biển báo cấm tất cả hoặc một số loại phương tiện đi vào theo chiều đặt biển. (độ tin cậy 0.80).",meaning,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 50 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm bấm còi thuộc nhóm Biển cấm.
Cấm đỗ xe thuộc nhóm Biển cấm.
Đi bên phải thuộc nhóm Biển bắt buộc.
Cấm đi vào thuộc nhóm Biển cấm.",group,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 50 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 50 km/h (Biển giới hạn tốc độ), độ tin cậy 0.98.
- Cấm bấm còi (Biển cấm), độ tin cậy 0.94.
- Cấm đỗ xe (Biển cấm), độ tin cậy 0.94.
- Đi bên phải (Biển bắt buộc), độ tin cậy 0.87.
- Cấm đi vào (Biển cấm), độ tin cậy 0.80.
Tốc độ tối đa suy ra từ biển báo là 50 km/h.",summary,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,speed_limit,Tốc độ tối đa là bao nhiêu?,50,Tốc độ tối đa cho phép là 50 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 50 km/h với độ tin cậy 0.98.,speed_limit,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,speed_limit,Có được chạy quá 50 km/h không?,50,Không được chạy quá 50 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 50 km/h với độ tin cậy 0.98.,speed_limit,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\72324.jpg,pl50,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,50,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 50 km/h.
- Không đỗ xe tại khu vực có biển Cấm đỗ xe.
- Không đi vào đường/khu vực có biển Cấm đi vào.
- Không sử dụng còi tại khu vực có biển Cấm bấm còi.
- Cần đi về bên phải theo chỉ dẫn của biển báo.",situation_advice,pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80); i5(0.46),pl50(0.98); p11(0.94); pn(0.94); i5(0.87); pne(0.80),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,what_sign,Đây là biển gì?,Giới hạn tốc độ 80 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 80 km/h (độ tin cậy 1.00)
- Cấm đỗ xe (độ tin cậy 0.95)",what_sign,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 80 km/h,"Giới hạn tốc độ 80 km/h: Biển báo quy định tốc độ tối đa cho phép là 80 km/h. (độ tin cậy 1.00).
Cấm đỗ xe: Biển báo cấm các phương tiện đỗ xe tại khu vực có đặt biển. (độ tin cậy 0.95).",meaning,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 80 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm đỗ xe thuộc nhóm Biển cấm.",group,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 80 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 80 km/h (Biển giới hạn tốc độ), độ tin cậy 1.00.
- Cấm đỗ xe (Biển cấm), độ tin cậy 0.95.
Tốc độ tối đa suy ra từ biển báo là 80 km/h.",summary,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,speed_limit,Tốc độ tối đa là bao nhiêu?,80,Tốc độ tối đa cho phép là 80 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 80 km/h với độ tin cậy 1.00.,speed_limit,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,speed_limit,Có được chạy quá 80 km/h không?,80,Không được chạy quá 80 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 80 km/h với độ tin cậy 1.00.,speed_limit,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\90551.jpg,pl80,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,80,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 80 km/h.
- Không đỗ xe tại khu vực có biển Cấm đỗ xe.",situation_advice,pl80(1.00); pn(0.95),pl80(1.00); pn(0.95),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,what_sign,Đây là biển gì?,Giới hạn tốc độ 90 km/h,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 90 km/h (độ tin cậy 0.99)
- Cấm đi vào (độ tin cậy 0.98)
- Cấm xe khách lớn đi vào (độ tin cậy 0.98)
- Cấm xe tải đi vào (độ tin cậy 0.97)",what_sign,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,meaning,Biển này có ý nghĩa gì?,Giới hạn tốc độ 90 km/h,"Giới hạn tốc độ 90 km/h: Biển báo quy định tốc độ tối đa cho phép là 90 km/h. (độ tin cậy 0.99).
Cấm đi vào: Biển báo cấm tất cả hoặc một số loại phương tiện đi vào theo chiều đặt biển. (độ tin cậy 0.98).
Cấm xe khách lớn đi vào: Biển báo cấm xe khách lớn đi vào khu vực hoặc đoạn đường có đặt biển. (độ tin cậy 0.98).
Cấm xe tải đi vào: Biển báo cấm xe tải đi vào đoạn đường hoặc khu vực có đặt biển. (độ tin cậy 0.97).",meaning,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,group,Biển này thuộc nhóm nào?,Biển giới hạn tốc độ,"Giới hạn tốc độ 90 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm đi vào thuộc nhóm Biển cấm.
Cấm xe khách lớn đi vào thuộc nhóm Biển cấm.
Cấm xe tải đi vào thuộc nhóm Biển cấm.",group,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,summary,Tóm tắt tình huống trong ảnh.,Giới hạn tốc độ 90 km/h,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 90 km/h (Biển giới hạn tốc độ), độ tin cậy 0.99.
- Cấm đi vào (Biển cấm), độ tin cậy 0.98.
- Cấm xe khách lớn đi vào (Biển cấm), độ tin cậy 0.98.
- Cấm xe tải đi vào (Biển cấm), độ tin cậy 0.97.
Tốc độ tối đa suy ra từ biển báo là 90 km/h.",summary,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,speed_limit,Tốc độ tối đa là bao nhiêu?,90,Tốc độ tối đa cho phép là 90 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 90 km/h với độ tin cậy 0.99.,speed_limit,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,speed_limit,Có được chạy quá 90 km/h không?,90,Không được chạy quá 90 km/h. Căn cứ: hệ thống phát hiện Giới hạn tốc độ 90 km/h với độ tin cậy 0.99.,speed_limit,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pl90,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,90,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 90 km/h.
- Không đi vào đường/khu vực có biển Cấm đi vào.
- Xe tải không được đi vào đoạn đường có biển cấm.
- Xe khách lớn không được đi vào đoạn đường có biển cấm.",situation_advice,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
